# ABIS-Seq immune-cell RNA-seq signature matrix (Table S5, ABIS-Seq sheet).
# Source: Monaco G, Lee B, Xu W, et al. "RNA-Seq Signatures Normalized by mRNA
#   Abundance Allow Absolute Deconvolution of Human Immune Cell Types."
#   Cell Reports 26(6):1627-1640.e7, 2019. doi:10.1016/j.celrep.2019.01.041; PMID:30726743.
# Provenance: PMC6367568 supplementary file mmc6.xlsx (Table S5), sheet 'ABIS-Seq'.
#   Retrieved via Europe PMC supplementaryFiles endpoint:
#   https://www.ebi.ac.uk/europepmc/webservices/rest/PMC6367568/supplementaryFiles
# Licence: CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/) - the Cell Reports
#   article is open access: "(c) 2019 The Authors. This is an open access article under
#   the CC BY license (http://creativecommons.org/licenses/by/4.0/)." Attribution: Monaco 2019.
# Dimensions: 1296 genes x 17 immune cell types. Values are mRNA-abundance-normalised TPM.
# Format: tab-separated; first non-comment line = header (gene-symbol col + 17 cell-type cols).
Gene symbol	Monocytes C	NK	T CD8 Memory	T CD4 Naive	T CD8 Naive	B Naive	T CD4 Memory	MAIT	T gd Vd2	Neutrophils LD	T gd non-Vd2	Basophils LD	Monocytes NC+I	B Memory	mDCs	pDCs	Plasmablasts
CDC42EP1	26.407696819573701	0.576181780373065	0.14900705344958201	0.14554395682433099	0	0.99924590756714304	0.154844876847298	0.167324796541101	0.100407437112565	0.174050576692139	0.12325623389399699	0.515824174008227	2.2556534803869401	0.75805273676240104	30.8009090410117	0.56053697323653195	0.59385438664857704
STAB1	125.52705934371799	7.3282241428288902E-2	0	0	0	2.4162421969670098	7.5800601686519904E-3	9.1567192900475103E-2	2.9433879877198602E-2	2.6254338409571299E-2	0	0.66051289069853902	21.3937267526737	2.3231584809361601	109.80471960979401	0	1.7522810623503999
TDRD6	5.9368276821689303	0	0	0	3.5659413638426999E-3	7.6041704261039095E-2	0	0	0	0	0	0	0.30043288556507902	4.9884586489808903E-2	1.7982651345954599	0	0
TMEM150B	31.3467641358144	0.132724162788976	0.25049845721090402	0.27905343133923499	0.23532415323817901	1.39462927554815	0.28283063088789501	0.19728788661130101	0.25276981466640502	0.39242373238588102	0.40770598726678597	2.50848606936639	5.3132046801025501	1.3289066456760401	9.2298111005755903	0.48381524250051799	1.4997642761893
ASGR1	38.097954026506997	1.0576741268670999	0.81198785317803202	1.34962017672001	1.75316018400518	2.7797825642887002	1.54287473179802	0.63804023384971897	1.4618712193607599	1.57792945090347	1.1363577906118101	1.95036429285057	12.711384916576	1.90512065533723	37.766780880677103	0.96117416123250199	3.6472176723016698
CLEC4D	111.038589708945	0	0	0	0	2.2872326283417501	0	0	0	34.8138610669115	0	2.8465235885535201	3.5715535301727699	2.4979215145890401	10.289420020281399	0	1.9707494562733401
CD163	472.464193344764	18.5870327871149	12.3156284251139	22.355719919539901	18.9524255120477	39.515460310836602	20.479473451533199	13.492156722289501	21.030965326062201	9.4551443255626406	12.6271497131715	9.1778003910249897	61.470074760681001	25.264011811119101	853.81690706357006	33.050578127906498	62.082107295784503
RP11-1319K7.1	43.601087075964998	2.1023877169423701	1.86425028359455	2.0888577159172201	1.8309378201722899	3.3115198614303298	2.2795419248714399	1.29175269788002	1.6372446314166	4.3772553422551503	2.2873194141405202	1.0320105459536	5.9756152465714996	3.1399361818066698	67.190581849826899	2.81614500508792	5.5414214770407098
MCEMP1	140.42102002542501	0	7.4047556434208399E-3	0	0	3.52264640396759	0	0	0	44.000227082795099	0	1.23513974776818	6.0397525442987297	5.1169828207533303	39.998829045272302	0	5.23453348252447
RP11-597D13.9	61.484843806387403	9.4578689162568605E-2	4.89205085188259E-2	0.117022368246102	8.9978969471237E-2	1.74127953601334	0.104810781529416	3.4322391586578203E-2	4.5046868954744898E-2	0.119720891374899	4.1492043265139097E-2	6.7436435381083695E-2	23.091536883549001	1.25875146934941	55.197357660670399	0.78587675428999504	1.3168601004551901
